Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25100909,AMPLICON,602,18466350,PRJNA989655,SAMN36181771,Metagenome or environmental,11873964,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853849,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,64_D125_myco,44.555881 N 123.214569 W,64_D125_myco_D125,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,64_D125_myco,SRP446870
SRR25100910,AMPLICON,602,22856736,PRJNA989655,SAMN36181770,Metagenome or environmental,14360257,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20853848,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,52_C91_myco,44.555881 N 123.214569 W,52_C91_myco_C91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,52_C91_myco,SRP446870
SRR25100911,AMPLICON,602,7274568,PRJNA989655,SAMN36181769,Metagenome or environmental,4765385,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20853847,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,40_B197_myco,44.555881 N 123.214569 W,40_B197_myco_B197,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,40_B197_myco,SRP446870
SRR25100912,AMPLICON,602,21470330,PRJNA989655,SAMN36181768,Metagenome or environmental,14078483,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853846,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,28_C2_myco,44.555881 N 123.214569 W,28_C2_myco_C2,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,28_C2_myco,SRP446870
SRR25100913,AMPLICON,602,20707596,PRJNA989655,SAMN36181767,Metagenome or environmental,12886733,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20853845,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,16_B29_myco,44.555881 N 123.214569 W,16_B29_myco_B29,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,16_B29_myco,SRP446870
SRR25100914,AMPLICON,602,26222518,PRJNA989655,SAMN36181766,Metagenome or environmental,16623103,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853844,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,4_Hystyle_myco,44.555881 N 123.214569 W,4_Hystyle_myco_Hystyle,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,4_Hystyle_myco,SRP446870
SRR25100915,AMPLICON,602,30523206,PRJNA989655,SAMN36181765,Metagenome or environmental,19552531,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20853843,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,87_A107_myco,44.555881 N 123.214569 W,87_A107_myco_A107,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,87_A107_myco,SRP446870
SRR25100916,AMPLICON,602,23969232,PRJNA989655,SAMN36181764,Metagenome or environmental,15265046,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20853842,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,75_B53_myco,44.555881 N 123.214569 W,75_B53_myco_B53,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,75_B53_myco,SRP446870
SRR25100917,AMPLICON,602,16813860,PRJNA989655,SAMN36181763,Metagenome or environmental,10835289,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853841,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,63_A94_myco,44.555881 N 123.214569 W,63_A94_myco_A94,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,63_A94_myco,SRP446870
SRR25100918,AMPLICON,602,23455124,PRJNA989655,SAMN36181762,Metagenome or environmental,14723086,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853840,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,51_A67_myco,44.555881 N 123.214569 W,51_A67_myco_A67,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,51_A67_myco,SRP446870
SRR25100919,AMPLICON,602,16925230,PRJNA989655,SAMN36181744,Metagenome or environmental,10594887,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853839,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,25_A116_myco,44.555881 N 123.214569 W,25_A116_myco_A116,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,25_A116_myco,SRP446870
SRR25100920,AMPLICON,602,13056176,PRJNA989655,SAMN36181761,Metagenome or environmental,8337691,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853838,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,39_D34_myco,44.555881 N 123.214569 W,39_D34_myco_D34,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,39_D34_myco,SRP446870
