Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25070594,AMPLICON,602,31733226,PRJNA988238,SAMN36007533,Metagenome or environmental,18253444,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824663,USA,North America,"USA: Corvallis\, OR",32_B180,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,32_B180,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,32_B180,SRP446524
SRR25070595,AMPLICON,602,41460944,PRJNA988238,SAMN36007532,Metagenome or environmental,23742680,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824662,USA,North America,"USA: Corvallis\, OR",20_A46,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,20_A46,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,20_A46,SRP446524
SRR25070596,AMPLICON,602,44847796,PRJNA988238,SAMN36007531,Metagenome or environmental,25789784,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824661,USA,North America,"USA: Corvallis\, OR",8_C87,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,8_C87,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,8_C87,SRP446524
SRR25070597,AMPLICON,602,42122542,PRJNA988238,SAMN36007530,Metagenome or environmental,24293656,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824660,USA,North America,"USA: Corvallis\, OR",91_C121,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,91_C121,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,91_C121,SRP446524
SRR25070598,AMPLICON,602,41001016,PRJNA988238,SAMN36007529,Metagenome or environmental,23960799,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824659,USA,North America,"USA: Corvallis\, OR",79_C103,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,79_C103,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,79_C103,SRP446524
SRR25070599,AMPLICON,602,42875644,PRJNA988238,SAMN36007528,Metagenome or environmental,24879599,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824658,USA,North America,"USA: Corvallis\, OR",67_A53,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,67_A53,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,67_A53,SRP446524
SRR25070600,AMPLICON,602,17572380,PRJNA988238,SAMN36007527,Metagenome or environmental,10050163,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824657,USA,North America,"USA: Corvallis\, OR",55_PR,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,55_PR,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,55_PR,SRP446524
SRR25070601,AMPLICON,602,16621822,PRJNA988238,SAMN36007526,Metagenome or environmental,9496248,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824656,USA,North America,"USA: Corvallis\, OR",43_C134,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,43_C134,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,43_C134,SRP446524
SRR25070602,AMPLICON,602,29029042,PRJNA988238,SAMN36007525,Metagenome or environmental,16853066,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824655,USA,North America,"USA: Corvallis\, OR",31_B180,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,31_B180,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,31_B180,SRP446524
SRR25070603,AMPLICON,602,24248560,PRJNA988238,SAMN36007480,Metagenome or environmental,13941447,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824654,USA,North America,"USA: Corvallis\, OR",61_A94,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,61_A94,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,61_A94,SRP446524
